中文译名,日文原名,,出道年份,备注
爱染恭子,愛染恭子(あいぞめ きょうこ）,,1981年,青山凉子
竹村祐佳,竹村祐佳(たけむら ゆうか）,,1981年,
田口由香里,田口ゆかり(たぐち ゆかり）,,1982年,
朝吹凯特,朝吹ケイト(あさぶき けいと）Kate Asabuki,,1983年,
八神康子,八神康子（やがみ やすこ）,,1983年,本名:八重尾 やす子（やえお やすこ）
桥本杏子,橋本杏子（はしもと きょうこ）,,1983年,
中村京子,中村京子（なかむら きょうこ）,,1983年,
竹下由香里,竹下ゆかり（たけした ゆかり）yukari takeshita,,1983年,
田代叶子,田代葉子（たしろ ようこ）,,1983年,
田所裕美子,田所裕美子（たどころ ゆみこ）,,1983年,
叶山丽子,葉山 レイコ（はやま れいこ）,,1984年,
大泷かつ美,大滝かつ美（おおたき かつみ）,,1984年,中山モモコ
早见瞳,早見瞳（はやみ ひとみ）,,1984年,吉沢有希子-いずみ由香-会沢由香
青木琴美,青木 琴美（あおき ことみ）,,1984年,
青木祐子,青木祐子（あおき ゆうこ）,,1984年,
神谷琴绘,神谷琴絵（かみや ことえ）,,1984年,堀田よしえ
北原ちあき,北原ちあき（きたはら ちあき）,,1984年,
神代弓子,神代弓子（イヴ）EVE,,1984年,
渡瀬ミク,渡瀬ミク（わたせ みく）,,1984年,
南ももこ,南ももこ（みなみ ももこ）,,1984年,大原安子
早坂明记,早坂明記（はやさか あき）,,1984年,
田村祐子,田村祐子（たむら ゆうこ）,,1984年,
岛崎梨乃,島崎梨乃（しまざき りの）,,1984年,
青山丽,青山麗（あおやま れい）,,1985年,
阿川いづみ,阿川いづみ（あがわ いづみ）,,1985年,
小川亜理沙,小川アリサ（おがわ ありさ）,,1985年,
菊池惠理,菊池えり（きくち えり）,,1985年,菊地えり-秋本 麻衣-比野 由美子-石川 江梨子-菊池 エリ
井上华奈,井上華奈（いのうえ かな）,,1985年,井上华菜-井上可奈-井上可菜-井上かな
井上あんり,井上あんり（いのうえあんり）,,1985年,1996死亡
星杏奈,星 杏奈（ほし あんな）,,1985年,出道时以赛车女郎活跃，2010年以AV女优复出
梶谷直美,梶谷直美（かじたに なおみ）,,1985年,
黒沢ひとみ,黒沢ひとみ（くろさわ ひとみ）,,1985年,片冈树里
和田良美,和田よしみ（わだ よしみ）,,1985年,
吉川マリ,吉川マリ（よしかわ まり）,,1985年,
松田由美,松田由美（まつだ ゆみ）,,1985年,
村上レイ,村上レイ（むらかみ れい）,,1985年,
早川爱美,早川愛美（はやかわ まなみ）,,1985年,
永井阳子,永井陽子（ながい ようこ）,,1985年,
中川えり子,中川えり子（なかがわ えりこ）,,1985年,中川 絵里-佐藤えり子-三桥江梨子-桐岛恵
中沢庆子,中沢慶子（なかざわ けいこ）,,1985年,
立川纯子,立川ひとみ（たちかわ ひとみ）,,1985年,
杉田香织,杉田かおり（すぎた かおり）,,1985年,松原ゆかり
杉下なおみ,杉下なおみ（すぎした なおみ）,,1985年,
泽口久美,沢口久美（さわぐち くみ）,,1985年,
