magnet,title
"<a href=""ftp://ygdy8:ygdy8@yg45.dydytt.net:8146/%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1www.ygdy8.com.%E4%BA%8C%E5%8D%81%E4%BA%8C.HD.1080p.%E5%9B%BD%E8%AF%AD%E4%B8%AD%E8%8B%B1%E5%8F%8C%E5%AD%97.mp4"">ftp://ygdy8:ygdy8@yg45.dydytt.net:8146/阳光电影www.ygdy8.com.二十二.HD.1080p.国语中英双字.mp4</a>","<font color=""#07519a"">2017年高分纪录片《二十二》HD国语中英双字幕</font>"
"<a href=""ftp://ygdy8:ygdy8@yg45.dydytt.net:6085/%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1www.ygdy8.com.%E6%98%9F%E7%90%83%E5%A4%A7%E6%88%988%EF%BC%9A%E6%9C%80%E5%90%8E%E7%9A%84%E7%BB%9D%E5%9C%B0%E6%AD%A6%E5%A3%AB.BD.720p.%E4%B8%AD%E8%8B%B1%E5%8F%8C%E5%AD%97%E5%B9%95.mkv"">ftp://ygdy8:ygdy8@yg45.dydytt.net:6085/阳光电影www.ygdy8.com.星球大战8：最后的绝地武士.BD.720p.中英双字幕.mkv</a>","<font color=""#07519a"">2017年科幻动作《星球大战8：最后的绝地武士》BD中英双字幕</font>"
"<a href=""ftp://ygdy8:ygdy8@yg45.dydytt.net:6081/%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1www.ygdy8.com.%E8%AF%B7%E4%BB%A5%E4%BD%A0%E7%9A%84%E5%90%8D%E5%AD%97%E5%91%BC%E5%94%A4%E6%88%91.BD.720p.%E4%B8%AD%E8%8B%B1%E5%8F%8C%E5%AD%97%E5%B9%95.mkv"">ftp://ygdy8:ygdy8@yg45.dydytt.net:6081/阳光电影www.ygdy8.com.请以你的名字呼唤我.BD.720p.中英双字幕.mkv</a>","<font color=""#07519a"">2017年8.2高分获奖剧情《请以你的名字呼唤我》BD中英双字幕</font>"
"<a href=""ftp://ygdy8:ygdy8@yg45.dydytt.net:8143/%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1www.ygdy8.com.%E6%88%91%EF%BC%8C%E8%8A%B1%E6%A0%B7%E5%A5%B3%E7%8E%8B.BD.720p.%E4%B8%AD%E8%8B%B1%E5%8F%8C%E5%AD%97%E5%B9%95.mkv"">ftp://ygdy8:ygdy8@yg45.dydytt.net:8143/阳光电影www.ygdy8.com.我，花样女王.BD.720p.中英双字幕.mkv</a>","<font color=""#07519a"">2017年高分获奖剧情传记《我，花样女王》BD中英双字幕</font>"
"<a href=""ftp://ygdy8:ygdy8@yg45.dydytt.net:3043/%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1www.ygdy8.com.%E9%A9%AC%E6%88%8F%E4%B9%8B%E7%8E%8B.HD.720p.%E9%9F%A9%E7%89%88%E4%B8%AD%E8%8B%B1%E5%8F%8C%E5%AD%97%E5%B9%95.rmvb"">ftp://ygdy8:ygdy8@yg45.dydytt.net:3043/阳光电影www.ygdy8.com.马戏之王.HD.720p.韩版中英双字幕.rmvb</a>","<font color=""#07519a"">2017年高分获奖剧情《马戏之王》HD韩版中英双字幕</font>"
"<a href=""ftp://ygdy8:ygdy8@yg72.dydytt.net:8170/%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1www.ygdy8.com.%E8%B5%B7%E8%B7%91%E7%BA%BF.BD.720p.%E4%B8%AD%E8%8B%B1%E5%8F%8C%E5%AD%97%E5%B9%95.mkv"">ftp://ygdy8:ygdy8@yg72.dydytt.net:8170/阳光电影www.ygdy8.com.起跑线.BD.720p.中英双字幕.mkv</a>","<font color=""#07519a"">2017年高分剧情喜剧《起跑线》BD中英双字幕</font>"
"<a href=""ftp://ygdy8:ygdy8@yg45.dydytt.net:4037/%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1www.ygdy8.com.%E5%B8%95%E4%B8%81%E9%A1%BF%E7%86%8A2.HD.720p.%E8%8B%B1%E8%AF%AD%E4%B8%AD%E5%AD%97.rmvb"">ftp://ygdy8:ygdy8@yg45.dydytt.net:4037/阳光电影www.ygdy8.com.帕丁顿熊2.HD.720p.英语中字.rmvb</a>","<font color=""#07519a"">2017年8.2高分喜剧《帕丁顿熊2》HD英语中字</font>"
"<a href=""ftp://ygdy8:ygdy8@yg45.dydytt.net:6079/%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1www.ygdy8.com.%E6%91%A9%E5%A4%A9%E8%BD%AE.BD.720p.%E4%B8%AD%E8%8B%B1%E5%8F%8C%E5%AD%97%E5%B9%95.mkv"">ftp://ygdy8:ygdy8@yg45.dydytt.net:6079/阳光电影www.ygdy8.com.摩天轮.BD.720p.中英双字幕.mkv</a>","<font color=""#07519a"">2017年伍迪·艾伦执导剧情《摩天轮》BD中英双字幕</font>"
"<a href=""ftp://ygdy8:ygdy8@yg45.dydytt.net:3044/%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1www.ygdy8.com.%E5%8B%87%E6%95%A2%E8%80%85%E6%B8%B8%E6%88%8F%EF%BC%9A%E5%86%B3%E6%88%98%E4%B8%9B%E6%9E%97.HD.720p.%E4%B8%AD%E8%8B%B1%E5%8F%8C%E5%AD%97%E5%B9%95.rmvb"">ftp://ygdy8:ygdy8@yg45.dydytt.net:3044/阳光电影www.ygdy8.com.勇敢者游戏：决战丛林.HD.720p.中英双字幕.rmvb</a>","<font color=""#07519a"">2017年奇幻动作《勇敢者游戏：决战丛林》HD中英双字幕</font>"
"<a href=""ftp://ygdy8:ygdy8@yg45.dydytt.net:4038/%E9%98%B3%E5%85%89%E7%94%B5%E5%BD%B1www.ygdy8.com.%E5%89%8D%E4%BB%BB3%EF%BC%9A%E5%86%8D%E8%A7%81%E5%89%8D%E4%BB%BB.HD.1080p.%E5%9B%BD%E8%AF%AD%E4%B8%AD%E5%AD%97.mp4"">ftp://ygdy8:ygdy8@yg45.dydytt.net:4038/阳光电影www.ygdy8.com.前任3：再见前任.HD.1080p.国语中字.mp4</a>","<font color=""#07519a"">2017年爱情喜剧《前任3：再见前任》HD国语中字</font>"
